HourIndex,Users,Hour,Day,Month,PercNewSessions,AvgSessionDuration,TotalEvents,EventsPerSessionWithEvent
1,0,1,20,January,0,0:00:00,0,0
2,0,2,20,January,0,0:00:00,0,0
3,0,3,20,January,0,0:00:00,0,0
4,0,4,20,January,0,0:00:00,0,0
5,0,5,20,January,0,0:00:00,0,0
6,0,6,20,January,0,0:00:00,0,0
7,0,7,20,January,0,0:00:00,0,0
8,0,8,20,January,0,0:00:00,0,0
9,0,9,20,January,0,0:00:00,0,0
10,4,10,20,January,0.6,0:02:25,2,2
11,1,11,20,January,0,0:00:33,2,2
12,0,12,20,January,0,0:00:00,0,0
13,0,13,20,January,0,0:00:00,0,0
14,0,14,20,January,0,0:00:00,0,0
15,0,15,20,January,0,0:00:00,0,0
16,1,16,20,January,0,0:00:00,0,0
17,0,17,20,January,0,0:00:00,0,0
18,0,18,20,January,0,0:00:00,0,0
19,19,19,20,January,1,0:00:00,0,0
20,0,20,20,January,0,0:00:00,0,0
21,0,21,20,January,0,0:00:00,0,0
22,0,22,20,January,0,0:00:00,0,0
23,0,23,20,January,0,0:00:00,0,0
24,0,24,20,January,0,0:00:00,0,0
25,0,1,21,January,0,0:00:00,0,0
26,0,2,21,January,0,0:00:00,0,0
27,0,3,21,January,0,0:00:00,0,0
28,0,4,21,January,0,0:00:00,0,0
29,0,5,21,January,0,0:00:00,0,0
30,0,6,21,January,0,0:00:00,0,0
31,0,7,21,January,0,0:00:00,0,0
32,0,8,21,January,0,0:00:00,0,0
33,4,9,21,January,1,0:05:17,0,0
34,4,10,21,January,1,0:00:00,0,0
35,14,11,21,January,0.93,0:02:02,10,10
36,2,12,21,January,0,0:08:14,0,0
37,0,13,21,January,0,0:00:00,0,0
38,0,14,21,January,0,0:00:00,0,0
39,0,15,21,January,0,0:00:00,0,0
40,0,16,21,January,0,0:00:00,0,0
41,0,17,21,January,0,0:00:00,0,0
42,0,18,21,January,0,0:00:00,0,0
43,0,19,21,January,0,0:00:00,0,0
44,0,20,21,January,0,0:00:00,0,0
45,1,21,21,January,1,0:23:29,4,4
46,1,22,21,January,0,0:00:00,2,0
47,0,23,21,January,0,0:00:00,0,0
48,0,24,21,January,0,0:00:00,0,0
49,0,1,22,January,0,0:00:00,0,0
50,0,2,22,January,0,0:00:00,0,0
51,0,3,22,January,0,0:00:00,0,0
52,0,4,22,January,0,0:00:00,0,0
53,0,5,22,January,0,0:00:00,0,0
54,0,6,22,January,0,0:00:00,0,0
55,0,7,22,January,0,0:00:00,0,0
56,4,8,22,January,0,0:09:22,2,2
57,1,9,22,January,0,0:00:00,20,20
58,3,10,22,January,0.33,0:00:09,0,0
59,2,11,22,January,0,0:00:00,0,0
60,1,12,22,January,1,0:00:00,0,0
61,0,13,22,January,0,0:00:00,0,0
62,1,14,22,January,0,0:00:00,0,0
63,0,15,22,January,0,0:00:00,0,0
64,0,16,22,January,0,0:00:00,0,0
